no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy,attack_probability,attackable_slots_count,successful_reorgs,failed_reorgs,malicious_blocks_proposal_percent,malicious_blocks_finality_percent,malicious_finality_probability,delayed_block_influence
4,128,0.1,8,0.0,24.300000000000004,72.9,0.2857142857142857,2.1,1.1941538538304963,0.058823529411764705,2,2,0,0.05714285714285714,0.02857142857142857,0.5,2
4,128,0.1,8,0.0,24.300000000000004,218.70000000000002,0.2571428571428571,1.5555555555555556,1.2599153656783693,0.058823529411764705,2,1,1,0.05714285714285714,0.0,0.0,2
4,128,0.1,8,0.0,24.300000000000004,656.1,0.22857142857142856,0.75,1.3080832228899653,0.08823529411764706,3,3,0,0.11428571428571428,0.0,0.0,3
4,128,0.1,8,0.0,72.9,0.1,0.17142857142857143,3.3333333333333335,1.18361665067827,0.08823529411764706,3,3,0,0.08571428571428572,0.05714285714285714,0.6666666666666666,3
4,128,0.1,8,0.0,72.9,0.30000000000000004,0.17142857142857143,3.5,1.1371061669945097,0.14705882352941177,5,5,0,0.17142857142857143,0.02857142857142857,0.16666666666666666,5
4,128,0.1,8,0.0,72.9,0.9000000000000001,0.2,3.142857142857143,1.0839023300621429,0.058823529411764705,2,2,0,0.05714285714285714,0.05714285714285714,1.0,2
4,128,0.1,8,0.0,72.9,2.7,0.17142857142857143,3.6666666666666665,0.9616641878664809,0.029411764705882353,1,1,0,0.08571428571428572,0.02857142857142857,0.3333333333333333,1
4,128,0.1,8,0.0,72.9,8.100000000000001,0.17142857142857143,3.3333333333333335,1.1311855541846947,0.08823529411764706,3,2,1,0.11428571428571428,0.02857142857142857,0.25,3
4,128,0.1,8,0.0,72.9,24.300000000000004,0.2571428571428571,2.111111111111111,1.1741168544074037,0.08823529411764706,3,3,0,0.08571428571428572,0.02857142857142857,0.3333333333333333,3
4,128,0.1,8,0.0,72.9,72.9,0.17142857142857143,3.6666666666666665,1.0520246798743986,0.058823529411764705,2,2,0,0.05714285714285714,0.05714285714285714,1.0,2
4,128,0.1,8,0.0,72.9,218.70000000000002,0.22857142857142856,3.125,0.9370057245134713,0.11764705882352941,4,4,0,0.11428571428571428,0.11428571428571428,1.0,4
4,128,0.1,8,0.0,72.9,656.1,0.17142857142857143,2.5,1.226377072700969,0.17647058823529413,6,6,0,0.17142857142857143,0.0,0.0,4
4,128,0.1,8,0.0,218.70000000000002,0.1,0.14285714285714285,3.6,0.9489922775730323,0.08823529411764706,3,3,0,0.11428571428571428,0.08571428571428572,0.75,3
4,128,0.1,8,0.0,218.70000000000002,0.30000000000000004,0.11428571428571428,5.5,0.9370057245134713,0.0,0,0,0,0.02857142857142857,0.0,0.0,0
4,128,0.1,8,0.0,218.70000000000002,0.9000000000000001,0.17142857142857143,3.1666666666666665,1.0669746268390998,0.14705882352941177,5,5,0,0.17142857142857143,0.14285714285714285,0.8333333333333334,5
4,128,0.1,8,0.0,218.70000000000002,2.7,0.14285714285714285,5.2,0.8544116950152295,0.08823529411764706,3,3,0,0.08571428571428572,0.08571428571428572,1.0,3
4,128,0.1,8,0.0,218.70000000000002,8.100000000000001,0.17142857142857143,4.0,0.8669690139153505,0.08823529411764706,3,3,0,0.11428571428571428,0.08571428571428572,0.75,3
4,128,0.1,8,0.0,218.70000000000002,24.300000000000004,0.14285714285714285,5.0,0.905128074325727,0.11764705882352941,4,4,0,0.14285714285714285,0.11428571428571428,0.8,4
4,128,0.1,8,0.0,218.70000000000002,72.9,0.17142857142857143,3.8333333333333335,0.9008102254382885,0.08823529411764706,3,2,1,0.08571428571428572,0.05714285714285714,0.6666666666666666,3
4,128,0.1,8,0.0,218.70000000000002,218.70000000000002,0.14285714285714285,4.4,0.7954176857491269,0.08823529411764706,3,3,0,0.08571428571428572,0.05714285714285714,0.6666666666666666,3
4,128,0.1,8,0.0,218.70000000000002,656.1,0.08571428571428572,5.333333333333333,1.0132482255824256,0.11764705882352941,4,4,0,0.14285714285714285,0.0,0.0,3
4,128,0.1,8,0.0,656.1,0.1,0.08571428571428572,8.333333333333334,0.7458657462909644,0.029411764705882353,1,1,0,0.08571428571428572,0.05714285714285714,0.6666666666666666,1
4,128,0.1,8,0.0,656.1,0.30000000000000004,0.14285714285714285,5.8,0.6004276097469979,0.11764705882352941,4,4,0,0.17142857142857143,0.11428571428571428,0.6666666666666666,3
4,128,0.1,8,0.0,656.1,0.9000000000000001,0.08571428571428572,9.666666666666666,0.5458692524645854,0.058823529411764705,2,2,0,0.05714285714285714,0.05714285714285714,1.0,2
4,128,0.1,8,0.0,656.1,2.7,0.11428571428571428,5.0,0.9298798282780875,0.08823529411764706,3,2,1,0.11428571428571428,0.08571428571428572,0.75,1
4,128,0.1,8,0.0,656.1,8.100000000000001,0.11428571428571428,6.0,0.8669690139153505,0.058823529411764705,2,2,0,0.05714285714285714,0.05714285714285714,1.0,2
4,128,0.1,8,0.0,656.1,24.300000000000004,0.14285714285714285,4.6,0.8111105436500803,0.08823529411764706,3,3,0,0.14285714285714285,0.08571428571428572,0.6,2
4,128,0.1,8,0.0,656.1,72.9,0.11428571428571428,5.5,0.8612018151205774,0.08823529411764706,3,3,0,0.08571428571428572,0.08571428571428572,1.0,3
4,128,0.1,8,0.0,656.1,218.70000000000002,0.11428571428571428,6.25,0.7311508120784059,0.08823529411764706,3,3,0,0.11428571428571428,0.08571428571428572,0.75,3
4,128,0.1,8,0.0,656.1,656.1,0.08571428571428572,9.0,0.6596647515729505,0.029411764705882353,1,1,0,0.02857142857142857,0.0,0.0,1
4,128,0.2,8,0.0,0.1,0.1,1.0,0.0,0.12974069471942834,0.29411764705882354,10,0,10,0.2857142857142857,0.2857142857142857,1.0,0
4,128,0.2,8,0.0,0.1,0.30000000000000004,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0
4,128,0.2,8,0.0,0.1,0.9000000000000001,1.0,0.0,0.12974069471942834,0.08823529411764706,3,0,3,0.08571428571428572,0.08571428571428572,1.0,0
