no_neighs,no_nodes,malicious_stake,adversary_offset,proposer_vote_boost,tau_block,tau_attestation,mainchain_rate,branch_ratio,blocktree_entropy
8,128,0.0,0,0.0,3.375,204.8,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,409.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,3.375,819.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,0.1,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,0.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,0.4,0.9259259259259259,0.04,0.4195558923202333
8,128,0.0,0,0.0,5.0625,0.8,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,1.6,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,3.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,6.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,12.8,0.9259259259259259,0.04,0.4195558923202333
8,128,0.0,0,0.0,5.0625,25.6,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,51.2,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,102.4,1.0,0.0,0.15841057013179086
8,128,0.0,0,0.0,5.0625,204.8,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,409.6,0.9629629629629629,0.038461538461538464,0.4195558923202333
8,128,0.0,0,0.0,5.0625,819.2,0.9259259259259259,0.08,0.6037974141151747
8,128,0.0,0,0.0,7.59375,0.1,0.8148148148148148,0.22727272727272727,0.956608498101539
8,128,0.0,0,0.0,7.59375,0.2,0.8888888888888888,0.08333333333333333,0.6037974141151747
8,128,0.0,0,0.0,7.59375,0.4,0.8888888888888888,0.08333333333333333,0.6037974141151747
8,128,0.0,0,0.0,7.59375,0.8,0.4444444444444444,0.5,1.0708078595494446
8,128,0.0,0,0.0,7.59375,1.6,0.7037037037037037,0.3157894736842105,1.0708078595494446
8,128,0.0,0,0.0,7.59375,3.2,0.7777777777777778,0.14285714285714285,0.8655013604939207
8,128,0.0,0,0.0,7.59375,6.4,0.5555555555555556,0.3333333333333333,0.9917249945106872
8,128,0.0,0,0.0,7.59375,12.8,0.9259259259259259,0.08,0.6037974141151747
8,128,0.0,0,0.0,7.59375,25.6,0.7037037037037037,0.3157894736842105,1.0247727743980646
8,128,0.0,0,0.0,7.59375,51.2,0.14814814814814814,0.5,1.1378936743311243
8,128,0.0,0,0.0,7.59375,102.4,0.7037037037037037,0.2631578947368421,0.956608498101539
8,128,0.0,0,0.0,7.59375,204.8,0.7777777777777778,0.23809523809523808,0.956608498101539
8,128,0.0,0,0.0,7.59375,409.6,0.8518518518518519,0.17391304347826086,0.8655013604939207
8,128,0.0,0,0.0,7.59375,819.2,0.6296296296296297,0.29411764705882354,1.0247727743980646
8,128,0.0,0,0.0,11.390625,0.1,0.2962962962962963,1.25,1.2425803885768054
8,128,0.0,0,0.0,11.390625,0.2,0.2222222222222222,1.6666666666666667,1.2585426152081585
8,128,0.0,0,0.0,11.390625,0.4,0.18518518518518517,1.8,1.2996448476344542
8,128,0.0,0,0.0,11.390625,0.8,0.1111111111111111,1.3333333333333333,1.272546820242055
8,128,0.0,0,0.0,11.390625,1.6,0.14814814814814814,1.25,1.1525521483452583
8,128,0.0,0,0.0,11.390625,3.2,0.3333333333333333,1.1111111111111112,1.2887699157742727
8,128,0.0,0,0.0,11.390625,6.4,0.2962962962962963,1.375,1.3019477368462544
8,128,0.0,0,0.0,11.390625,12.8,0.14814814814814814,1.5,1.2800044178534211
8,128,0.0,0,0.0,11.390625,25.6,0.2962962962962963,0.75,1.1609816602394223
8,128,0.0,0,0.0,11.390625,51.2,0.2962962962962963,1.25,1.2668265967814394
8,128,0.0,0,0.0,11.390625,102.4,0.2222222222222222,1.0,1.2772590255204332
8,128,0.0,0,0.0,11.390625,204.8,0.18518518518518517,1.8,1.285613450426322
8,128,0.0,0,0.0,11.390625,409.6,0.18518518518518517,1.8,1.1248974874794655
8,128,0.0,0,0.0,11.390625,819.2,0.2962962962962963,1.0,1.2425803885768054
8,128,0.0,0,0.0,17.0859375,0.1,0.14814814814814814,2.75,1.1625735040692897
8,128,0.0,0,0.0,17.0859375,0.2,0.1111111111111111,2.6666666666666665,1.123889469297228
8,128,0.0,0,0.0,17.0859375,0.4,0.14814814814814814,2.25,1.2164814977789877
8,128,0.0,0,0.0,17.0859375,0.8,0.14814814814814814,1.75,1.2879435318123582
8,128,0.0,0,0.0,17.0859375,1.6,0.1111111111111111,2.0,1.1122011827550544
8,128,0.0,0,0.0,17.0859375,3.2,0.14814814814814814,1.75,1.184516823062123
8,128,0.0,0,0.0,17.0859375,6.4,0.14814814814814814,1.75,1.249529277666365
8,128,0.0,0,0.0,17.0859375,12.8,0.14814814814814814,2.5,1.1519640847656398
8,128,0.0,0,0.0,17.0859375,25.6,0.14814814814814814,1.75,1.2800044178534211
8,128,0.0,0,0.0,17.0859375,51.2,0.1111111111111111,3.0,1.123889469297228
8,128,0.0,0,0.0,17.0859375,102.4,0.14814814814814814,2.25,1.1752337048942612
8,128,0.0,0,0.0,17.0859375,204.8,0.2222222222222222,1.3333333333333333,1.3122299614711503
8,128,0.0,0,0.0,17.0859375,409.6,0.1111111111111111,2.0,1.1625735040692897
8,128,0.0,0,0.0,17.0859375,819.2,0.18518518518518517,2.2,1.13317258746509
8,128,0.0,0,0.0,25.62890625,0.1,0.14814814814814814,2.5,1.2038963839422914
8,128,0.0,0,0.0,25.62890625,0.2,0.1111111111111111,4.0,0.9671030730501876
8,128,0.0,0,0.0,25.62890625,0.4,0.14814814814814814,2.75,1.041477386277853
8,128,0.0,0,0.0,25.62890625,0.8,0.14814814814814814,1.75,0.9853462641378448
8,128,0.0,0,0.0,25.62890625,1.6,0.07407407407407407,4.0,1.0708783028820528
8,128,0.0,0,0.0,25.62890625,3.2,0.14814814814814814,1.75,1.1137930265849216
8,128,0.0,0,0.0,25.62890625,6.4,0.1111111111111111,4.333333333333333,1.1122011827550544
8,128,0.0,0,0.0,25.62890625,12.8,0.1111111111111111,4.0,1.0589563396132504
8,128,0.0,0,0.0,25.62890625,25.6,0.14814814814814814,1.5,1.1137930265849216
8,128,0.0,0,0.0,25.62890625,51.2,0.07407407407407407,4.5,0.9033636549597351
8,128,0.0,0,0.0,25.62890625,102.4,0.1111111111111111,3.6666666666666665,1.0184473086472206
8,128,0.0,0,0.0,25.62890625,204.8,0.1111111111111111,4.666666666666667,1.0184473086472206
8,128,0.0,0,0.0,25.62890625,409.6,0.07407407407407407,5.0,1.1325845238854715
8,128,0.0,0,0.0,25.62890625,819.2,0.1111111111111111,3.3333333333333335,1.0624487909878886
8,128,0.0,0,0.0,38.443359375,0.1,0.07407407407407407,6.5,0.9257801931771859
8,128,0.0,0,0.0,38.443359375,0.2,0.1111111111111111,5.333333333333333,0.8744359575801528
8,128,0.0,0,0.0,38.443359375,0.4,0.07407407407407407,8.0,0.8713989802428705
8,128,0.0,0,0.0,38.443359375,0.8,0.07407407407407407,8.0,0.7224980276090904
8,128,0.0,0,0.0,38.443359375,1.6,0.07407407407407407,8.0,0.8251864988031563
8,128,0.0,0,0.0,38.443359375,3.2,0.1111111111111111,4.0,0.9547078905567682
8,128,0.0,0,0.0,38.443359375,6.4,0.07407407407407407,8.5,0.805806937922988
8,128,0.0,0,0.0,38.443359375,12.8,0.07407407407407407,7.5,0.8200547446458375
8,128,0.0,0,0.0,38.443359375,25.6,0.14814814814814814,3.75,0.956122338098301
8,128,0.0,0,0.0,38.443359375,51.2,0.07407407407407407,5.5,0.805806937922988
8,128,0.0,0,0.0,38.443359375,102.4,0.07407407407407407,7.5,0.7258654461894092
8,128,0.0,0,0.0,38.443359375,204.8,0.1111111111111111,5.333333333333333,0.8713989802428705
8,128,0.0,0,0.0,38.443359375,409.6,0.1111111111111111,5.0,0.9671030730501876
